tag;artist_song;bpm_median;bpm_std;centroid_mean;centroid_std;onset_regular;onset_strength_mean;onset_strength_std;self-correlation;spectral_contrast_mean;spectral_contrast_std;spectral_flux_mean;spectral_flux_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_bandwidth_mean;spectral_bandwidth_std;volume_mean;volume_std;zero_cross;cepstral_mean1;cepstral_mean2;cepstral_mean3;cepstral_mean4;cepstral_mean5;cepstral_mean6;cepstral_mean7;cepstral_mean8;cepstral_mean9;cepstral_mean10;cepstral_std1;cepstral_std2;cepstral_std3;cepstral_std4;cepstral_std5;cepstral_std6;cepstral_std7;cepstral_std8;cepstral_std9;cepstral_std10
happy;_Yours_OFFICIAL_VIDEO_Russell_Dickerson;135.999177632;24.4717660398;2740.5425412;853.37778062;0.555;0.243131533542;0.130791152319;100.054;6.88508;3.34725;8.1958;11.722;8224.72128578;1417.62044972;2709.18547843;478.272473527;-0.656885;13.505;0.104;-74.5696591933;87.6198013736;15.9037111778;26.7403082482;3.9411628157;10.2497405852;-3.21403300144;5.80147241738;-5.0164708127;0.803957944741;82.4824725744;31.7709672136;16.9709199439;15.4155740837;16.0954630738;12.353320129;9.46885102486;9.4438705703;8.06971557246;9.09594025597
happy;_3_4_Handel_Messiah_oratorio_HWV_56_Part_2_William_Christie_Les_Arts_Florissants;123.046875;49.7891113611;1132.07064999;534.590317698;1.128;0.359497949168;0.145457389999;3.763;0.792618;0.888976;0.193808;0.671155;4084.09753269;1463.9684826;1482.01007342;387.678239332;-34.0984;12.5467;0.074;-341.798898588;143.361507008;-10.5210503801;30.5175478971;17.4122972223;-7.58963033015;1.4390098339;18.9744708979;-7.94595230458;-3.6414045703;78.6282971787;18.4966284672;27.3013766675;11.8196219593;12.6456562883;12.3054223072;8.47672865361;12.6412606684;15.714781442;8.46984419547
happy;_FULL_ALBUM_Handel_Water_Music_Consort_Of_London_Robert_Haydon_Clark;117.453835227;42.1861814713;1377.83335022;266.440079944;1.086;0.308280121156;0.106639662377;0.671;0.410838;0.311584;0.0286657;0.0417409;3978.34363551;722.858106381;1340.34390895;223.796977738;-39.4697;14.7381;0.078;-442.565311817;135.783056291;-41.8227852052;16.0103940368;-2.06705683354;-8.22858677585;-10.7127602778;-9.38180120883;-11.3563727126;-4.80063444298;99.9018031789;26.1772238071;18.7418924949;10.405143997;10.4623526405;12.6577641265;9.88168796926;7.63966358344;8.0187862977;8.50953973325
happy;_part_1_2_Handel_Music_for_the_Royal_Fireworks_Ouverture_Suite_HWV_351_Trevor_Pinnock_;89.1029094828;44.9801457337;1534.84223426;314.800255844;0.544;0.2532026871;0.127181630143;61.609;5.3957;2.57166;2.67232;2.5912;5290.40681791;975.608247764;1760.11598908;244.949049105;-14.4803;15.8298;0.087;-135.751039691;128.265452546;-21.955178755;19.7917515279;-7.64195523127;-0.40570795209;-8.28512114109;-7.81631729491;-14.2078744292;-4.27077652389;70.9007204496;22.0459146903;10.7719320556;7.82819327096;9.19815403571;7.48449411114;8.35126601519;7.32664536834;9.23380654357;8.53585099711
happy;_Let_s_go_to_the_beach_;117.453835227;0.0;2396.72830717;880.264837332;0.382;0.355915401333;0.153277977222;680.479;9.51588;3.41922;29.0805;33.3593;8617.58039212;910.926822664;2819.03952143;390.338917386;-1.92266;11.9611;0.08;-20.2185647402;88.0212234018;17.4225030258;16.9937198285;8.17877042773;10.332010312;2.29573855342;8.33251710136;0.0508227326242;3.35406575494;40.8647964359;24.4079407456;20.7198868727;15.1526630917;11.7496515422;13.2393947416;10.4240226294;9.27205206518;7.94819752306;9.90729285704
happy;02_Mark_Mothersbaugh_Loquasto_International_Film_Festival;103.359375;1.65707898901;982.973144259;332.1926433;0.63;0.321522054716;0.139612142139;73.577;3.80256;1.25036;1.80266;1.96177;3359.19843376;1093.82146515;1349.44473144;256.579566529;-20.347;14.6504;0.052;-201.180821698;165.243237194;-14.0062008591;32.0486829262;23.4461981911;12.7018208594;4.10440150029;7.60748726775;3.59859718111;1.80545617447;38.2810814083;26.2970423447;19.2052728476;10.1452575883;9.81807782115;7.82029970188;7.80004615033;8.46840461588;9.54476638688;8.25537468601
happy;02_Mr_Fox_In_The_Fields_Medley_Fantastic_Mr_Fox_Additional_Music_;123.046875;22.4403419638;1193.3086736;627.343155091;0.981;0.29496847912;0.146227828673;10.689;1.26321;1.00443;0.561312;0.951392;4797.91134365;2540.39429069;1749.86886595;639.342374238;-26.279;14.1897;0.039;-355.448969798;138.995849281;30.5115399904;24.195306502;12.4351104046;12.7708585722;5.24039213537;6.16278824874;-0.945590690153;5.65602220549;122.625242657;36.8357646443;34.7460568261;12.9501711423;12.9495354645;10.6486367154;10.046596179;8.20953263467;10.1341159794;8.28275941158
happy;04_Don_t_Think_Twice_It_s_Alright;129.19921875;23.9743871721;1729.13688084;856.935002716;0.487;0.2536943955;0.11094806392;163.876;6.06796;1.79429;7.66348;5.73302;7142.01233654;1719.01953002;2346.46846335;514.795069223;-9.18295;12.8522;0.046;-120.590435773;111.324404552;32.3931267415;45.977298655;12.7879074556;4.28445072441;7.67429282751;2.32586213553;-3.71188026365;2.73768836386;50.02539369;28.4984921884;19.4733242503;15.2817448162;11.5692030098;12.4894484772;11.3106584421;9.33440354368;11.4646135591;8.35564030603
happy;7_Hours_Ago_Honeywater;123.046875;23.9492776692;2054.10255889;966.312748456;0.526;0.301896362333;0.151525766938;52.176;4.20096;1.9307;3.56725;4.39016;7082.27425706;1884.60599243;2332.47003026;603.112709643;-11.3139;14.0012;0.076;-163.05008163;90.4612994051;15.7909679668;33.4095396125;3.03571757897;4.07643145369;2.22253182736;-2.27633023146;-9.18862776275;-4.0708305898;71.2241166193;40.9484304885;31.3922337851;23.5478807397;19.8176563279;16.6116373154;12.7986726616;12.1166919875;12.3803467243;10.3386065071
happy;_Audio_Jake_Owen_Apple_Pie_Moonshine;135.999177632;9.94883014019;2395.37433024;725.924133388;0.541;0.339124154117;0.136859042309;299.886;11.8246;2.75401;14.8176;13.0687;7884.5016754;920.36004067;2465.0123491;330.185877288;0.771805;13.9169;0.108;24.0001327087;94.9477383456;-13.5225876704;23.8740060138;3.43466521607;10.8250733038;-2.34088374847;6.98261068127;-7.41530090713;13.1372790802;25.9356261478;17.4890249259;15.5145800774;10.8915387035;7.85104833712;8.29400867949;7.3911966726;6.94722709369;8.39313152417;6.85032461356
happy;_Lyrics_Right_On_Back_to_You_Keith_Urban;69.8374155405;30.1551173372;2166.98310043;783.492029723;0.532;0.275390550342;0.147103422818;88.769;5.72188;2.1558;4.31977;5.58692;7659.32785805;1278.39922577;2466.96571358;435.600458403;-6.85494;13.2381;0.089;-95.343863658;100.407554148;8.83738723198;29.5382376958;7.83012118803;9.194116676;-0.864953400793;5.09267317457;-1.69650216525;12.6958519408;60.7655073454;30.2476097873;20.8458748515;14.9929430121;11.5013952487;11.519791439;9.51778200382;9.36119926311;8.71049376226;8.88091027544
happy;A_Vivaldi_Il_Cimento_dell_Armonia_e_dell_Invenzione_Op_8_The_Avison_Ensemble_;103.359375;37.2428112065;1875.43565968;748.246268167;0.718;0.249435426981;0.0719204647157;57.169;1.14203;1.24972;0.187719;0.368409;6116.51072178;1344.41915701;1969.03367598;318.982766007;-23.1478;13.9655;0.103;-317.439660337;97.5768400628;-6.44666702652;24.1627140951;-1.90656398888;2.26213440884;-1.70021878718;3.6303063482;0.678795114982;0.599642818973;101.191851858;48.516487751;17.5655661728;10.9966668343;12.9057458603;7.71261733739;6.73499700271;12.2264129317;11.1389151051;11.6865158696
happy;A_Vivaldi_Op_3_n_12_Concerto_for_violin_strings_b_c_in_E_major_RV_265_;107.666015625;20.7307385846;1984.57873409;383.415384566;0.402;0.317101931073;0.100442692323;5.293;1.45076;0.789026;0.312305;0.538613;6636.55069963;839.765603313;2125.69169487;221.74511459;-22.6051;12.9343;0.099;-240.780928683;100.688042073;-7.55307263817;34.2204386724;-5.06633190697;1.31618661467;-5.91103518041;1.14526514445;-4.00024906889;2.36914127791;50.9816745566;17.724975128;11.1769157638;9.09764461065;8.16141449265;6.87265560841;6.66086549012;7.42037457889;9.0004451613;10.8562836958
happy;A_I_4EVER;135.999177632;10.4420550118;1874.61252689;689.480250879;0.745;0.377347120903;0.161256425471;163.015;6.21781;2.30571;5.54728;4.9031;7798.89375816;1781.06729089;2539.563741;520.507435254;-7.38908;13.365;0.06;-100.321220463;114.098432395;21.2062994776;21.1432498191;16.8776578809;7.9790134699;-1.43506294337;11.2559329887;1.77885514202;-1.06174278123;85.5560491164;28.54577271;15.6276507107;14.7894064451;11.7472311201;8.38605803403;11.1266538764;8.50742414753;7.791191362;8.65491255187
happy;Aaron_Copland_Appalachian_Spring_Orchestral_suite_;107.666015625;24.7015404087;1333.76247373;342.739962908;0.522;0.402790456123;0.0678412663504;0.332;0.20809;0.0761416;0.00300291;0.00267967;4111.61704127;921.519415381;1435.1205384;254.161663718;-44.659;13.627;0.076;-441.581149098;137.083160822;-35.4094657488;27.9611992951;-5.93318990313;-5.9710431486;-12.8237128008;-0.722665307684;-8.01923351512;5.52282537921;36.8642842253;12.8974355455;8.82318754216;8.76495934273;6.19499905802;6.60180183716;7.84203213659;7.34847257844;9.41237013201;8.06005993015
happy;Aaron_Watson_That_Look_Official_Lyric_Video_;107.666015625;2.11639138567;2163.52371506;883.204156188;0.439;0.273954045684;0.138195758938;123.75;8.04465;3.18426;9.60685;10.114;7410.85244044;1433.34970106;2384.5240722;440.953290452;-4.69006;13.9751;0.103;-31.1451211906;95.966712612;-1.84714299522;27.9336223026;7.47315962902;9.18268459298;2.20219197355;10.9593266351;-6.14582194245;9.56589692523;50.3223559672;28.6686442914;20.2942898835;15.4734405488;12.3522140303;10.9630522303;10.1362175121;8.77113472933;11.5896354004;9.21678747061
happy;ACCEPTING_ANXIETY_Part_1_2_Excepting_Anxiety_Thomas_Sanders;117.453835227;24.9105961442;1893.1155115;898.556739281;0.656;0.300398874735;0.135739863918;25.222;4.14492;2.49583;4.85827;5.12466;5690.36450776;1906.89902733;1902.08548871;463.269629197;-15.0377;15.0073;0.082;-171.19428898;119.725611564;-17.1687601708;30.1900698662;11.5046341268;-4.39120500137;-4.67322819599;-6.06845376546;-20.2279396839;2.45224367892;76.2776988923;43.7150562126;34.9068977014;28.3808067754;22.0729906229;17.5267397393;14.113618116;13.7872383805;14.159795625;11.9999791695
happy;Adagio_from_Concerto_in_C_minor_A_Marcello_Rebecca_Robertson_Pianon_Trumpet;67.9995888158;47.2911852555;1201.99419111;290.328718517;0.696;0.379228572242;0.173715968713;6.896;1.00267;0.488963;0.217585;0.326868;2474.30001213;566.498142798;789.662578938;151.332257685;-35.2275;13.5127;0.09;-370.363911874;164.290281544;-44.5115234042;-9.56322847479;7.10933154771;-13.1414127446;-17.1216103502;-15.6257820062;-13.4980638318;-7.99828481705;48.0589341122;29.4178020059;40.286013201;14.0424074832;8.71208676347;13.9075428424;9.28652443989;8.26178891732;11.0217706694;15.3480737637
happy;After_All_This_Time_The_Beautiful_Girls;95.703125;16.2532514594;1816.49215534;867.459181079;0.442;0.31291179632;0.161722164629;123.364;5.98323;2.69499;7.1823;10.0038;6824.16951096;1726.09770711;2223.62093538;504.573399867;-9.65039;13.8604;0.071;-97.1385903926;112.083771559;6.72931603716;21.4611805729;1.64604218283;13.3893736748;-4.86576703149;5.20385950965;-2.29207651301;-0.685637684373;61.245734957;36.1467183313;25.0935067878;19.4754362874;14.6379196813;12.5471078612;14.4320554818;12.4256934511;10.771725783;10.5746181289
happy;Alan_Jackson_Where_I_Come_From;123.046875;2.08261629622;1936.11713825;709.068734692;0.496;0.27007230028;0.131667522116;66.688;6.49801;2.64095;5.49269;5.95529;6919.96914448;1501.00955158;2220.6645861;439.048866184;-8.04979;14.1186;0.083;-66.1193661537;116.234933442;-7.10788036239;21.3905154936;8.87618886236;2.21958842853;4.1915057309;11.1016521364;-4.57541047146;7.99319175019;58.3517052886;27.5220596583;20.8478897597;16.5234641271;15.518926881;14.4116552911;10.9462124874;9.55108645935;9.38886281632;8.76466793892
happy;Alan_Jackson_Jimmy_Buffett_It_s_Five_O_Clock_Somewhere;123.046875;5.70478030411;2037.03037172;666.776866092;0.416;0.23334545076;0.108854805;19.713;2.947;1.17729;1.27141;1.29758;7135.00123558;1448.84741365;2260.11867033;377.799613394;-13.8672;14.2665;0.08;-164.407011709;111.109095339;-8.46084961636;29.6178391938;9.16088883266;3.5236472622;11.1225470401;9.41163506743;-5.40277651421;7.25759100324;49.0794397428;26.3436256777;19.1777124643;17.4407530753;14.6745508634;13.3496121387;10.5862410457;8.67558107787;9.71314001768;9.29267338097
happy;Alard_Etude_artistique_op_19_n_2_Alberto_La_Rocca_guitar;117.453835227;24.4462917032;900.000976753;305.542537092;0.235;0.321589111354;0.144337885792;39.698;1.82986;0.674252;0.552656;0.846252;2985.19181547;1056.47572118;1164.2403182;295.382159226;-25.7075;11.6096;0.047;-275.968400294;149.314541305;0.919539544539;25.8031167694;14.4897955781;-10.5141549648;-15.4186749097;-14.1947959209;-11.0019091388;-18.5333113062;43.9900198747;17.9030275497;20.217097289;10.4222494161;11.0419419211;9.29305314705;8.93589313657;7.86964316718;8.11195696676;8.58071860735
happy;Albinoni_Oboe_Concerto_in_C_Major_Op_9_No_5_Mvt_1_3;107.666015625;2.15142608345;1676.06116712;230.059016195;0.445;0.423186584682;0.135644330563;4.342;1.52612;0.523161;0.346877;0.389059;5093.33989193;826.157644362;1668.65559422;212.860504678;-24.1321;14.63;0.102;-231.598175682;125.845871754;-38.3709748276;24.7162891046;-3.84361956201;-3.23380992257;-11.1199021589;0.17249534046;-9.02030214539;1.86159085039;36.3183444707;14.86488969;15.658823807;8.61542439928;6.7274599145;8.46672088998;7.37905145329;9.18827745681;10.9562736919;10.2193109592
happy;Alexander_Konstantinovich_Glazunov_Vremena_goda_The_Seasons_Op_67_Spring_Scene;112.347146739;19.3110352892;1610.91498156;337.596935199;0.532;0.434485685241;0.0685089351501;0.273;0.252366;0.0836088;0.00509894;0.00368229;5290.40681791;975.214959216;1662.98372225;246.121531894;-35.1405;14.6287;0.101;-418.496614037;104.79360219;-49.026660041;13.7980916291;-25.4395963986;-11.1221470633;-23.0267133599;-4.27620602482;-18.7101030748;-5.91577051094;41.292517777;15.6534719251;8.8214748568;7.21843465257;7.44669973749;8.27199556397;8.09256609206;6.47252348707;7.21300223425;7.73158550622
happy;Amiga_Da_Minha_Mulher_Seu_Jorge_Mu_sicas_Para_Churrasco_Vol_1_;103.359375;17.6550216826;2154.3980647;645.382629988;0.382;0.317383034833;0.16150603745;104.18;8.78529;2.77142;13.2452;10.9085;7509.85768429;1077.76563056;2426.85692542;372.434296009;-3.11222;13.4604;0.097;-41.2638656675;96.2193002173;10.9151530031;38.2890828601;8.97971725465;11.5419162715;-5.03244501577;-0.616793956554;-6.30466992027;3.85884689327;45.9945702967;24.9821107233;23.7041442142;15.9471625483;12.3550536921;10.1977029403;10.4449856261;9.98188830076;8.57363174081;8.56152711663
happy;ANA_MOURA_DESPIU_A_SAUDADE_new_album_Desfado_;103.359375;25.775046311;1896.68401618;763.843652455;0.621;0.310947607838;0.119091971361;227.603;5.49751;1.80385;5.62201;6.17772;7785.44019277;1338.93397507;2531.14869171;462.25953387;-9.9022;12.6538;0.052;-135.499205612;108.087153501;48.7443374133;27.411703998;7.29046299223;9.73963263768;2.54522876454;-3.07567202199;-12.621369798;8.09251915196;46.923483438;25.028038041;17.5428897422;11.7822966352;12.7625288651;10.441206671;10.7215870305;10.1318692907;12.2767856547;15.0228018308
happy;Andante_in_C_Major_for_flute_and_orchestra_K_315_KARAOKE_PIANO_ACCOMPANIMENT_Mozart;78.3025568182;43.0635305731;748.331429564;236.757945537;0.634;0.233651322762;0.145769779954;20.08;1.13532;0.773964;0.106427;0.249509;2143.3847951;1226.18577635;717.262493462;398.88985481;-30.8766;12.3867;0.051;-407.208106944;167.678600544;-1.62952378032;-4.89826881134;3.01970885311;-14.3320651141;-14.6050091519;-14.6589873628;-16.3326841905;-15.5566587467;98.5341647549;59.9336622504;27.5190270423;11.3387379051;11.2225594095;8.96542474067;9.48910160787;8.93571819654;8.48757792693;8.70399822688
happy;Angel_Florida_Georgia_Line_Lyrics;107.666015625;26.2392571904;2527.40977676;544.306455191;0.491;0.338189788637;0.143122956208;72.488;8.35016;2.48276;7.18201;5.40569;7503.83388632;1375.30931743;2369.5585032;402.798813858;-0.47619;13.9821;0.122;-25.6595693556;95.1232772197;-24.6045296279;22.8698666358;0.804975034477;5.15826140158;-4.20809191721;4.98340263989;-5.01292765064;2.4445629515;54.8523319375;27.2303404829;17.6068347923;13.1861483687;11.4580585531;9.16721882312;10.3614288541;8.38548588426;8.76013773787;8.64076781899
happy;Antonio_Vivaldi_Sinfonia_for_strings_b_c_in_G_major_from_Il_coro_delle_muse_RV_149_;135.999177632;13.334540661;1946.62938979;561.649944557;0.223;0.258132211097;0.0874558722967;4.452;1.80664;0.732699;0.358776;0.303552;6839.69141362;783.656339675;2154.02988867;196.2405812;-23.4232;15.8065;0.097;-178.233270597;110.286717695;-15.357271956;27.0148956675;-3.47679402654;1.01969672326;-7.46109438217;2.70861366411;-7.25436009754;-2.9716504477;40.7284830135;15.7600861351;9.38014244238;6.69163190594;5.92953866265;5.301338735;5.0260967397;5.15894496499;5.95463289007;6.51678595805
happy;Antoni_n_Dvor_a_k_Humoresque_No_7_Op_101;123.046875;30.2129817954;1186.49479825;228.920883298;0.646;0.467995542621;0.108844709898;3.992;1.23474;0.775324;0.16342;0.266207;3606.39285698;864.969714119;1314.18807917;233.328464769;-27.0353;15.3103;0.064;-311.803631069;171.365770851;-28.8146171003;14.3610703818;-3.29139926577;-3.2170751683;-13.3950542881;-16.2400814824;-13.7655763806;-6.81651591915;53.2087723761;17.2955517658;16.7916640657;11.1012990802;9.16803952801;7.5608215608;7.61507978289;7.82569549043;7.40105604945;7.11294815402
happy;Anto_nio_Zambujo_Zorro;117.453835227;21.8695441864;971.714460327;549.599707606;0.519;0.348801499756;0.163069468063;60.923;3.86617;1.92263;2.62932;3.14508;4034.78862211;1880.23114226;1533.73372357;480.518843082;-20.7616;14.4796;0.037;-218.418398015;156.626479625;14.5889015452;31.5206629648;18.6033577299;11.1736356351;4.15722832904;4.17406612743;-19.7131921229;-6.78758803738;69.6316096803;32.0625049607;20.275429408;14.6662257527;13.4842357141;13.3276190932;11.1496557033;11.7300509357;12.538649307;10.7782641576
happy;Anything_But_The_Truth_Jack_Johnson;129.19921875;21.7159636516;1125.15323176;676.617271898;0.459;0.359626075004;0.165555228874;27.521;1.94733;1.22573;0.955887;2.25957;5142.39885238;2073.62053722;1776.51515845;522.074748446;-22.8816;11.9473;0.036;-276.14037945;134.874794089;28.6660791838;33.4030327604;16.4166844899;11.3139388826;3.22308000058;4.71349891061;-6.09226625921;-0.645813844829;67.3841767216;29.6994000219;18.3675482114;15.2406210071;12.2664827669;10.3610710581;10.3549237801;9.14036627592;12.5573762057;8.87352928923
happy;Arcangelo_Corelli_1653_1713_Sonata_c_Moll_Op_V_Nr_5_Rom_1700_;99.3840144231;31.1588069538;1540.79874493;423.519595241;0.596;0.364653068397;0.131823170947;20.734;1.3295;0.610219;0.343288;0.576957;5900.103905;1341.57508113;1887.77333761;321.061946902;-26.3228;11.2339;0.069;-283.138086405;118.073529245;4.33336468759;20.605066516;-12.4424425581;-13.5736622364;-9.53148011047;-4.30822992931;-0.0241576428695;3.9475608619;38.8229357938;16.7670135914;11.5563458977;12.9768693824;10.8443873338;8.82105400508;13.0967394371;15.4323040641;10.0159742152;10.9689494976
happy;Arcangelo_Corelli_1653_1713_12_Concerti_Grossi_Opus_VI_COMPLETE;123.046875;22.1476740532;1626.36315428;422.305170698;1.229;0.29725396141;0.112026260942;13.606;2.01547;1.00905;0.345992;0.303089;6095.42742888;1394.00773441;1968.74685808;369.366281926;-20.0611;13.2646;0.067;-218.79457628;119.597070047;-3.80528273159;26.7029512477;-4.30578062082;-0.531531251755;-10.4489077813;-4.45700055679;-9.92137002875;-4.03579716602;90.6939235365;23.2307434959;16.7950283714;12.1117891509;9.54935664035;7.73888880459;9.28130393549;6.14926135032;7.60983358203;6.51491237723
happy;Arcangelo_Corelli_Concerto_Grosso_Opus_6_No_4_in_D_Major_Adagio_Allegro_Voices_of_Music;123.046875;19.6583238645;1753.35542605;406.21986587;0.509;0.394884551679;0.112424715596;16.305;2.79957;1.32655;0.7629;0.731896;5611.2053037;918.204930496;1852.82262481;223.870528945;-18.3111;14.5144;0.107;-176.944307016;112.159870393;-27.9265405447;36.3187371519;-14.3301161181;-6.54921559008;-14.0241118828;-0.433688927922;-7.18437162206;-1.68393449319;50.3283992764;28.1969165261;15.2682106376;12.9741451066;10.478149819;9.21591351008;9.02680057973;9.70517812743;9.91229167532;11.6668520707
happy;Aretha_Franklin_I_say_a_little_prayer_Official_song_HQ_version_Photos_Photoshoots;135.999177632;21.2965536757;2043.37320111;452.81638021;0.473;0.327142511029;0.130662011383;102.525;6.96474;2.82013;7.05838;6.60966;7256.18330413;1170.97565222;2297.4529066;356.6715093;-5.62644;13.5606;0.086;-67.9295155507;102.404402206;-4.55186401222;27.2390351811;8.64902608592;13.7127541859;4.48063376671;0.554636917185;-7.2436291839;8.46859438971;55.7012086624;22.0582002895;23.6235127098;11.5378127035;10.9218865097;10.5888690705;8.04891003089;9.38315045324;8.54323969936;9.28298583571
